Name,Player_Type,Latest_Team,Matches_Played,Total_Pts
Vinay,Raider,haryana steelers,15,67
V. Ajith Kumar,Raider,tamil thalaivas,13,67
Anil Kumar,"Defender, left cover",dabang delhi kc,49,66
Jawahar Dagar,Defender,patna pirates,44,64
Pravin Niwale,Raider,dabang delhi kc,17,64
Sunil Siddhgavali,Defender,jaipur pink panthers,39,63
Sagar B Krishna,All Rounder,puneri paltan,57,63
Kuldeep Singh,Defender,haryana steelers,34,63
Akshay Jadhav,Raider,puneri paltan,29,62
Vinod Kumar,Raider,bengaluru bulls,29,61
Vineet Sharma,Raider,tamil thalaivas,38,61
Amit Singh Chhillar,"Defender, left corner",telugu titans,35,60
Neeraj Kumar,"Defender, right cover",patna pirates,33,59
Prashant Chavan,"Defender, right corner",dabang delhi kc,41,57
Rajaguru Subramanian,"Defender, right cover",u mumba,45,55
Sumit Singh,Raider,bengaluru bulls,29,54
Ruturaj Shivaji Koravi,Defender,gujarat fortunegiants,34,54
Shyam Kumar Sah,"Defender, left cover",bengal warriors,27,53
Rakesh Narwal,Raider,bengal warriors,25,52
Amit Om Prakash Rathi,Raider,gujarat fortunegiants,16,52
D. Pradap,All Rounder,tamil thalaivas,29,51
D. Gopu,"Defender, right and left corner",tamil thalaivas,34,51
Sachin Khambe,"Defender, left corner",puneri paltan,22,51
Rakesh Singh Kumar,"Defender, left cover",haryana steelers,49,50
Sumit,"Defender, left corner",up yoddha,14,50
Parmod Narwal,All Rounder,haryana steelers,35,49
Vinod Kumar,"Defender, left cover",puneri paltan,27,48
Darshan J.,"Defender, right cover",tamil thalaivas,29,47
Ravindra Ramesh Kumawat,Raider,bengal warriors,17,47
Anand Patil,Raider,jaipur pink panthers,26,46
Vishal,All Rounder,jaipur pink panthers,20,45
Harish Naik,Raider,bengaluru bulls,21,45
Yogesh Hooda,Raider,dabang delhi kc,21,45
Preetam Chhillar,All Rounder,bengaluru bulls,58,45
Suraj Desai,Raider,telugu titans,11,44
Kalimuthu Balamahendran,"Defender, left corner",telugu titans,23,43
Satpal,"Defender, right corner",dabang delhi kc,22,43
Narender,All Rounder,up yoddha,28,42
Gangadhari Mallesh,Raider,jaipur pink panthers,36,41
Kuldeep Singh,"Defender, left corner",bengaluru bulls,20,40
Sombir,Defender,dabang delhi kc,29,40
Saurabh Nandal,"Defender, left corner",bengaluru bulls,15,40
Amit Kumar,Raider,puneri paltan,16,39
Sachin Vittala,"Defender, left corner",gujarat fortunegiants,26,39
Manish,"Defender, right cover",patna pirates,40,37
Surender Gill,Raider,up yoddha,11,37
R. Sriram,Raider,puneri paltan,15,36
Santhapanaselvam,All Rounder,jaipur pink panthers,28,36
Mohammad Esmaeil Maghsoudlou Mahalli,Raider,patna pirates,16,35
Suresu Kumar,Raider,dabang delhi kc,21,35
Vikas Kumar,Raider,telugu titans,14,35
Amit Kumar,Raider,jaipur pink panthers,17,33
Mayur Shivtarkar,All Rounder,bengal warriors,28,33
Ziaur Rahman,"Defender, left cover",bengal warriors,34,32
Ajit Singh,Raider,jaipur pink panthers,17,32
Vijin Thangadurai,"Defender, right cover",bengal warriors,51,32
Parveen,"Defender, left cover",haryana steelers,25,32
Sonu Jaglan,Raider,gujarat fortunegiants,11,32
Sidharth,All Rounder,dabang delhi kc,21,31
Vinoth Kumar,Raider,u mumba,17,30
Shubham Shinde,"Defender, right corner",puneri paltan,23,30
Pankaj,All Rounder,gujarat fortunegiants,19,29
Manpreet Singh,Raider,patna pirates,13,29
Umesh Mhatre,Raider,puneri paltan,13,28
Mangesh Bhagat,Raider,puneri paltan,8,28
Gurpreet Singh,"Defender, right corner",puneri paltan,18,28
Azad Singh,Raider,up yoddha,12,28
Viraj Vishnu Landge,"Defender, left cover",bengal warriors,33,28
Rakshith,Raider,telugu titans,17,28
Rajnish,Raider,telugu titans,11,27
Wasim Sajjad,"Defender, right corner",telugu titans,17,27
Pradeep Kumar,Raider,u mumba,10,26
Vikash,"Defender, right corner",haryana steelers,19,26
Amit,"Defender, left cover",up yoddha,28,26
Jadhav Balasaheb Shahaji,"Defender, right cover",puneri paltan,14,26
Anil Kumar,"Defender, left corner",dabang delhi kc,19,25
Hadi Tajik,"Defender, right corner",puneri paltan,26,25
Ashish Chhokar,Raider,bengal warriors,12,25
Deepak Kumar Rathee,All Rounder,haryana steelers,20,24
Manoj Dhull,"Defender, right corner",bengal warriors,27,24
Ashu Singh,"Defender, right cover",up yoddha,14,24
Armaan,All Rounder,telugu titans,10,24
Amit Nagar,Raider,bengal warriors,12,23
Young Chang Ko,"Defender, left cover",u mumba,35,23
Raju Lal Choudhary,"Defender, right corner",bengaluru bulls,22,23
Navneet Gautam,"Defender, left corner",jaipur pink panthers,31,22
Tae Deok Eom,All Rounder,patna pirates,35,22
Dadaso Balaso Awad,All Rounder,dabang delhi kc,12,22
Samarjeet Singh,All Rounder,jaipur pink panthers,22,22
Somvir,"Defender, left cover",telugu titans,16,22
Rahul Kumar,"Defender, right cover",bengal warriors,30,22
Suresh Kumar,Raider,puneri paltan,11,22
Swapnil Dilip Shinde,"Defender, right cover",dabang delhi kc,21,21
Vijendar Singh,All Rounder,telugu titans,8,20
Dinesh Kumar,"Defender, left cover",bengal warriors,8,19
Nitin More,All Rounder,bengal warriors,22,19
Rupesh Tomar,Raider,dabang delhi kc,15,19
Anil Shriram Nimbolkar,"Defender, left corner",dabang delhi kc,6,19
Sandeep,"Defender, left cover",bengaluru bulls,14,19
Ram Kumar Sah,"Defender, right cover",dabang delhi kc,11,18
Ponparthiban Subramanian,"Defender, left corner",tamil thalaivas,16,18
